episode,winner,steps,loss,epsilon,win_rate_vs_random,draw_rate_vs_random
150,-1,46,6.755530,0.6324,,
300,-1,48,3.033439,0.3979,,
450,1,57,2.085732,0.2593,,
600,1,33,2.377926,0.1658,1.0000,0.0000
750,1,43,2.005972,0.1026,,
900,1,47,2.285132,0.0666,,
1050,1,19,2.283604,0.0500,,
1200,-1,28,2.788837,0.0500,1.0000,0.0000
1350,1,23,3.032766,0.0500,,
1500,1,39,2.826803,0.0500,,
1650,1,15,2.957648,0.0500,,
1800,1,23,2.320073,0.0500,1.0000,0.0000
1950,-1,34,2.589682,0.0500,,
2100,1,25,2.146997,0.0500,,
2250,-1,18,3.192984,0.0500,,
2400,1,13,2.333005,0.0500,1.0000,0.0000
2550,-1,22,3.149356,0.0500,,
2700,1,17,4.023515,0.0500,,
2850,1,31,10.516174,0.0500,,
3000,-1,12,15.681551,0.0500,1.0000,0.0000
3150,1,21,8.474072,0.0500,,
3300,-1,12,1.022703,0.0500,,
3450,1,13,1.318981,0.0500,,
3600,-1,14,1.027358,0.0500,1.0000,0.0000
3750,1,11,0.537391,0.0500,,
3900,1,33,0.553964,0.0500,,
4050,1,15,0.431596,0.0500,,
4200,-1,10,0.498503,0.0500,1.0000,0.0000
4350,-1,18,0.189655,0.0500,,
4500,-1,22,0.059977,0.0500,,
4650,1,29,0.090764,0.0500,,
4800,-1,62,0.020146,0.0500,1.0000,0.0000
4950,1,51,0.071870,0.0500,,
5100,1,9,0.069657,0.0500,,
5250,1,65,0.050361,0.0500,,
5400,1,9,0.061449,0.0500,1.0000,0.0000
5550,-1,32,0.071002,0.0500,,
5700,1,9,0.016976,0.0500,,
5850,-1,44,0.049439,0.0500,,
6000,-1,36,0.013011,0.0500,1.0000,0.0000
6150,1,29,0.008914,0.0500,,
6300,1,13,0.017849,0.0500,,
6450,-1,36,0.043246,0.0500,,
6600,-1,50,0.023596,0.0500,1.0000,0.0000
6750,1,57,0.623787,0.0500,,
6900,1,9,0.359289,0.0500,,
7050,1,21,1.581180,0.0500,,
7200,1,15,2.330538,0.0500,1.0000,0.0000
7350,1,9,1.825103,0.0500,,
7500,-1,30,1.725118,0.0500,,
7650,-1,56,2.495984,0.0500,,
7800,-1,42,2.457264,0.0500,1.0000,0.0000
7950,-1,40,2.136639,0.0500,,
8100,1,23,2.419658,0.0500,,
8250,1,29,3.393712,0.0500,,
8400,-1,38,8.343261,0.0500,1.0000,0.0000
8550,-1,36,19.187481,0.0500,,
8700,-1,32,32.333862,0.0500,,
8850,1,29,30.301757,0.0500,,
9000,1,15,35.479010,0.0500,1.0000,0.0000
9150,1,25,19.199776,0.0500,,
9300,-1,32,17.743820,0.0500,,
9450,1,39,14.438395,0.0500,,
9600,1,15,22.007818,0.0500,1.0000,0.0000
9750,1,15,19.094736,0.0500,,
9900,-1,20,29.173206,0.0500,,
10050,-1,32,29.522937,0.0500,,
10200,1,31,30.292481,0.0500,1.0000,0.0000
10350,-1,52,13.662403,0.0500,,
10500,1,17,15.643011,0.0500,,
10650,1,19,16.889534,0.0500,,
10800,-1,24,18.298323,0.0500,1.0000,0.0000
10950,-1,32,21.366049,0.0500,,
11100,-1,24,27.581364,0.0500,,
11250,-1,26,28.349226,0.0500,,
11400,-1,20,48.035769,0.0500,1.0000,0.0000
11550,1,27,59.611243,0.0500,,
11700,-1,28,97.605449,0.0500,,
11850,-1,36,149.989730,0.0500,,
12000,-1,24,264.991192,0.0500,1.0000,0.0000
12150,-1,12,94.820281,0.0500,,
12300,-1,18,143.408588,0.0500,,
12450,1,23,137.975642,0.0500,,
12600,0,81,127.432571,0.0500,1.0000,0.0000
12750,1,31,115.995632,0.0500,,
12900,1,35,116.078063,0.0500,,
13050,1,21,177.518272,0.0500,,
13200,1,21,113.139672,0.0500,1.0000,0.0000
13350,1,27,89.313906,0.0500,,
13500,1,25,106.618488,0.0500,,
13650,1,11,168.553855,0.0500,,
13800,1,19,129.942448,0.0500,1.0000,0.0000
13950,-1,22,111.171790,0.0500,,
14100,1,11,111.350808,0.0500,,
14250,1,25,216.525077,0.0500,,
14400,-1,28,1042.091814,0.0500,1.0000,0.0000
14550,-1,46,243.329248,0.0500,,
14700,1,31,191.858839,0.0500,,
14850,-1,54,220.220145,0.0500,,
15000,-1,24,201.334310,0.0500,0.9900,0.0100
15150,-1,16,292.410938,0.0500,,
15300,-1,64,294.813557,0.0500,,
15450,-1,26,365.969827,0.0500,,
15600,-1,48,301.205515,0.0500,1.0000,0.0000
15750,-1,16,427.815234,0.0500,,
15900,1,49,320.848436,0.0500,,
16050,1,23,275.170420,0.0500,,
16200,-1,24,345.565403,0.0500,0.9900,0.0100
16350,1,15,645.940287,0.0500,,
16500,-1,38,526.679101,0.0500,,
16650,1,19,493.657744,0.0500,,
16800,-1,30,457.895368,0.0500,1.0000,0.0000
16950,-1,30,435.521529,0.0500,,
17100,-1,32,827.876772,0.0500,,
17250,1,25,94035.056250,0.0500,,
17400,-1,28,90321.185268,0.0500,1.0000,0.0000
17550,-1,22,2034.806141,0.0500,,
17700,1,37,1929.138167,0.0500,,
17850,1,39,1773.483067,0.0500,,
18000,-1,36,2761.340895,0.0500,1.0000,0.0000
18150,1,45,2150913.277778,0.0500,,
18300,1,31,3143371.193548,0.0500,,
18450,1,41,11752514.731707,0.0500,,
18600,1,37,24560151.891892,0.0500,1.0000,0.0000
18750,1,25,51114732.160000,0.0500,,
18900,1,39,83512541.128205,0.0500,,
19050,-1,38,111576926.315789,0.0500,,
19200,-1,16,155850654.000000,0.0500,0.9800,0.0200
19350,1,47,171221644.255319,0.0500,,
19500,-1,52,235104869.538462,0.0500,,
19650,1,39,209549566.358974,0.0500,,
19800,-1,44,182963568.727273,0.0500,1.0000,0.0000
19950,-1,56,118937635.428571,0.0500,,
20100,1,17,45108890.823529,0.0500,,
20250,1,33,31842228.727273,0.0500,,
20400,1,15,37404998.933333,0.0500,1.0000,0.0000
20550,1,33,26662986.424242,0.0500,,
20700,-1,52,36872147.230769,0.0500,,
20850,1,49,58599606.204082,0.0500,,
21000,1,61,67072035.278689,0.0500,0.9900,0.0100
21150,1,27,86778183.111111,0.0500,,
21300,-1,32,150242021.000000,0.0500,,
21450,-1,36,177090515.555556,0.0500,,
21600,-1,44,253842925.818182,0.0500,1.0000,0.0000
21750,-1,24,304425197.333333,0.0500,,
21900,-1,32,347710322.000000,0.0500,,
22050,-1,50,322820460.800000,0.0500,,
22200,1,23,318346768.695652,0.0500,1.0000,0.0000
